Name	Math_Avg	Reading_Avg	Attendance_Ratio	Rating
190	HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS	371	370	0.238	3
191	BELMONT PREPARATORY HIGH SCHOOL	418	404	0.149	3
192	FORDHAM HIGH SCHOOL FOR THE ARTS	350	355	0.09	2
193	FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY	385	367	0.227	1
194	BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE	364	366	0.228	3
195	DEWITT CLINTON HIGH SCHOOL	426	419	0.257	1
196	CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE	420	423	0.119	4
197	BRONX HIGH SCHOOL OF SCIENCE	688	632	0.028	4
198	JOHN F. KENNEDY HIGH SCHOOL	362	351	0.303	3
199	MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES	435	414	0.072	4
200	BRONX THEATRE HIGH SCHOOL	362	348	0.17	3
201	DISCOVERY HIGH SCHOOL	379	372	0.151	4
202	GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	382	362	0.366	2
203	GRACE DODGE YABC	356	350	0.882	0
204	HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE	648	636	0.034	4
205	BRONX HEALTH SCIENCES HIGH SCHOOL	381	370	0.064	3
206	BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS	357	400	0.138	3
207	BRONX LAB SCHOOL	391	377	0.166	4
208	ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL	394	386	0.121	2
209	HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY	376	381	0.116	3
210	COLLEGIATE INSTITUTE FOR MATH AND SCIENCE	471	444	0.129	3
211	BRONX ACADEMY OF HEALTH CAREERS	365	387	0.127	3
212	ASTOR COLLEGIATE ACADEMY	391	387	0.186	2
213	CHRISTOPHER COLUMBUS HIGH SCHOOL	361	367	0.257	1
214	YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS	0	0	0.566	0
215	BRONX HIGH SCHOOL FOR THE VISUAL ARTS	433	419	0.146	3
216	HARRY S TRUMAN HIGH SCHOOL	397	386	0.137	3
217	NEW WORLD HIGH SCHOOL	381	332	0.092	4
218	THE BRONXWOOD PREPARATORY ACADEMY	372	377	0.111	3
219	GLOBAL ENTERPRISE HIGH SCHOOL	382	372	0.329	1
220	PELHAM PREPARATORY ACADEMY	438	431	0.104	3
221	HIGH SCHOOL FOR CONTEMPORARY ARTS	378	383	0.19	4
222	BRONX AEROSPACE HIGH SCHOOL	393	388	0.192	2
223	NEW DAY ACADEMY	344	348	0	3
224	METROPOLITAN HIGH SCHOOL, THE	367	347	0.151	3
225	EXPLORATIONS ACADEMY	381	381	0.175	3
226	PERFORMANCE CONSERVATORY HIGH SCHOOL	353	361	0.443	3
227	BRONX LATIN	432	408	0.144	3
228	EAST BRONX ACADEMY FOR THE FUTURE	378	366	0.214	3
229	PEACE AND DIVERSITY ACADEMY	401	390	0.36	2
230	PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE	351	321	0.211	4
231	LEARNING TO WORK YABC AT MONROE ACADEMY	0	0	1.338	0
232	ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX	372	380	0.599	2
233	THE CINEMA SCHOOL	0	0	0.095	0
234	BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL	0	0	0.297	2
235	BRONX REGIONAL HIGH SCHOOL	385	398	0.49	2
236	HIGH SCHOOL OF WORLD CULTURES	323	304	0.168	2
237	FANNIE LOU HAMER FREEDOM HIGH SCHOOL	346	342	0.231	4
238	WINGS ACADEMY	374	378	0.195	3
239	MONROE ACADEMY FOR BUSINESS/LAW	387	375	0.31	1
240	MONROE ACADEMY FOR VISUAL ARTS & DESIGN	357	332	0.309	3
241	DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS	349	352	0.223	3
242	ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT	374	439	0	2
243	URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART	364	360	0.18	3
244	BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA	355	375	0.215	3
245	SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS	417	399	0.243	3
246	BROOKLYN TECHNICAL HIGH SCHOOL	659	587	0.042	3
247	BROOKLYN INTERNATIONAL HIGH SCHOOL	364	305	0.069	4
248	THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE	417	400	0.101	4
249	ACORN COMMUNITY HIGH SCHOOL	364	384	0.255	4
250	FREEDOM ACADEMY HIGH SCHOOL	390	400	0	2
251	URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN	0	0	0.123	3
252	BROOKLYN ACADEMY HIGH SCHOOL	383	435	0.319	4
253	BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL	391	398	0.612	4
254	BEDFORD ACADEMY HIGH SCHOOL	443	438	0.074	4
255	GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	391	406	0.166	2
256	BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE	0	0	0.556	3
257	BENJAMIN BANNEKER ACADEMY	472	471	0.106	3
258	CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY	499	441	0.156	3
259	JUAN MOREL CAMPOS SECONDARY SCHOOL	361	365	0.308	3
260	FOUNDATIONS ACADEMY	0	0	0.355	3
261	ACADEMY FOR YOUNG WRITERS	357	387	0	4
262	BROOKLYN LATIN SCHOOL, THE	584	586	0.055	4
263	GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS	386	407	0.333	2
264	PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS	379	364	0.213	3
265	SCHOOL FOR LEGAL STUDIES	396	413	0.289	2
266	THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY	421	398	0.125	4
267	BROOKLYN PREPARATORY HIGH SCHOOL	373	367	0.179	3
268	WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN	385	363	0.11	3
269	WILLIAMSBURG PREPARATORY SCHOOL	410	397	0.117	4
270	LYONS COMMUNITY SCHOOL	377	371	0.219	2
271	AUTOMOTIVE HIGH SCHOOL	376	367	0.303	2
272	FRANCES PERKINS ACADEMY	372	382	0.18	3
273	EL PUENTE ACADEMY FOR PEACE AND JUSTICE	335	359	0.199	4
274	AUTOMOTIVE HIGH SCHOOL YABC	0	0	0.579	0
275	BROOKLYN SCHOOL FOR GLOBAL STUDIES	367	361	0.157	3
276	BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES	399	393	0.135	3
277	SECONDARY SCHOOL FOR LAW	411	398	0.162	2
278	SECONDARY SCHOOL FOR JOURNALISM	391	397	0.16	3
279	PARK SLOPE COLLEGIATE	416	379	0.212	3
280	SCHOOL FOR INTERNATIONAL STUDIES	415	405	0.15	3
281	COBBLE HILL SCHOOL OF AMERICAN STUDIES	402	398	0.186	2
282	PACIFIC HIGH SCHOOL	341	352	0	3
283	WEST BROOKLYN COMMUNITY HIGH SCHOOL	0	0	0.407	3
284	METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL	365	368	0.525	1
285	BROOKLYN HIGH SCHOOL OF THE ARTS	421	426	0.105	3
286	SUNSET PARK HIGH SCHOOL	0	0	0.151	4
287	SOUTH BROOKLYN COMMUNITY HIGH SCHOOL	416	430	0.532	3
288	FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL	355	355	0.231	3
289	BOYS AND GIRLS HIGH SCHOOL	370	365	0.289	2
290	BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY	372	362	0.112	3
291	GOTHAM PROFESSIONAL ARTS ACADEMY	372	370	0.227	2
292	THE BROOKLYN ACADEMY OF GLOBAL FINANCE	0	0	0.231	2
293	ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL	374	396	0.2	2
294	ACADEMY OF HOSPITALITY AND TOURISM	342	352	0.224	2
295	ERASMUS YABC	0	0	0.752	0
296	W.E.B. DUBOIS ACADEMIC HIGH SCHOOL	364	394	0.579	2
297	INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS	335	287	0.133	3
298	THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP	385	403	0.144	2
299	SCHOOL FOR HUMAN RIGHTS, THE	381	348	0.073	3
300	SCHOOL FOR DEMOCRACY AND LEADERSHIP	404	377	0.23	2
301	HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS	349	338	0.165	2
302	HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS	375	362	0.161	4
303	SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS	462	457	0.049	4
304	INTERNATIONAL ARTS BUSINESS SCHOOL	391	386	0.264	3
305	HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW	441	418	0.08	4
306	BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT	382	388	0.107	2
307	BROOKLYN SCHOOL FOR MUSIC & THEATRE	393	385	0.138	3
308	BROWNSVILLE ACADEMY HIGH SCHOOL	356	372	0.384	3
309	MEDGAR EVERS COLLEGE PREPARATORY SCHOOL	481	476	0.076	3
310	CLARA BARTON HIGH SCHOOL	413	425	0.104	3
311	PAUL ROBESON HIGH SCHOOL	363	365	0.425	3
312	ACADEMY FOR HEALTH CAREERS	0	0	0.159	2
313	IT TAKES A VILLAGE ACADEMY	320	313	0.116	4
314	BROOKLYN GENERATION SCHOOL	377	374	0.202	3
315	BROOKLYN THEATRE ARTS HIGH SCHOOL	358	383	0.165	3
316	KURT HAHN EXPEDITIONARY LEARNING SCHOOL	378	368	0.15	3
317	VICTORY COLLEGIATE HIGH SCHOOL	377	387	0.124	4
318	BROOKLYN BRIDGE ACADEMY	362	384	0.46	3
319	ARTS & MEDIA PREPARATORY ACADEMY	360	361	0.189	3
320	HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA	393	404	0.21	2
321	CULTURAL ACADEMY FOR THE ARTS AND SCIENCES	395	393	0.186	3
322	HIGH SCHOOL FOR MEDICAL PROFESSIONS	380	386	0.074	4
323	OLYMPUS ACADEMY	370	400	0.654	3
324	ACADEMY FOR CONSERVATION AND THE ENVIRONMENT	381	363	0.216	1
325	URBAN ACTION ACADEMY	385	376	0.188	3
326	EAST BROOKLYN COMMUNITY HIGH SCHOOL	403	410	0.494	3
327	EAST NEW YORK FAMILY ACADEMY	432	416	0.11	3
328	THOMAS JEFFERSON YABC	0	0	0.767	0
329	FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY	349	341	0.239	2
330	HIGH SCHOOL FOR CIVIL RIGHTS	349	363	0.301	3
331	PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL	386	380	0.254	2
332	WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL	365	371	0.286	4
333	MULTICULTURAL HIGH SCHOOL	322	279	0.325	2
334	TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	418	395	0.137	3
335	ACADEMY OF INNOVATIVE TECHNOLOGY	371	371	0.204	3
336	BROOKLYN LAB SCHOOL	385	360	0.386	3
337	CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL	385	376	0.226	2
338	W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	369	370	0.275	2
339	THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS	400	383	0.189	4
340	NEW UTRECHT HIGH SCHOOL	471	402	0.229	4
341	HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY	474	425	0.093	4
342	FORT HAMILTON HIGH SCHOOL	478	417	0.11	4
